id_tmdb,title,tmdb_title,release_date,release_year,release_month,release_quarter,release_period,is_summer_release,is_holiday_release,director_name,top_billed_cast,production_company_names,main_production_company,production_company_count,cast_member_count,tmdb_fetch_status,tmdb_http_status,tmdb_error
1577,Resident Evil: Apocalypse,Resident Evil: Apocalypse,2004-09-10,2004,9,Q3,primavera,0,0,Alexander Witt,Milla Jovovich|Sienna Guillory|Oded Fehr,Davis Films/Impact Pictures|Screen Gems|Constantin Film,Davis Films/Impact Pictures,3,93,ok,200,
1578,Raging Bull,Raging Bull,1980-11-14,1980,11,Q4,primavera,0,1,Martin Scorsese,Robert De Niro|Cathy Moriarty|Joe Pesci,United Artists|Winkler Films,United Artists,2,112,ok,200,
1579,Apocalypto,Apocalypto,2006-12-07,2006,12,Q4,verao,0,1,Mel Gibson,Rudy Youngblood|Raoul Max Trujillo|Gerardo Taracena,Icon Entertainment International|Icon Productions|Touchstone Pictures,Icon Entertainment International,3,39,ok,200,
1580,Rope,Rope,1948-02-01,1948,2,Q1,verao,0,0,Alfred Hitchcock,James Stewart|John Dall|Farley Granger,Transatlantic Pictures,Transatlantic Pictures,1,10,ok,200,
1581,The Holiday,The Holiday,2006-12-05,2006,12,Q4,verao,0,1,Nancy Meyers,Cameron Diaz|Kate Winslet|Jude Law,Relativity Media|Waverly Films|Universal Pictures|Columbia Pictures,Relativity Media,4,67,ok,200,
1584,School of Rock,The School of Rock,2003-10-03,2003,10,Q4,primavera,0,0,Richard Linklater,Jack Black|Joan Cusack|Mike White,Paramount Pictures|Scott Rudin Productions,Paramount Pictures,2,69,ok,200,
1585,It's a Wonderful Life,It's a Wonderful Life,1946-12-20,1946,12,Q4,verao,0,1,Frank Capra,James Stewart|Donna Reed|Lionel Barrymore,Liberty Films,Liberty Films,1,117,ok,200,
1586,Secret Window,Secret Window,2004-03-12,2004,3,Q1,outono,0,0,David Koepp,Johnny Depp|John Turturro|Maria Bello,Grand Slam Productions|Columbia Pictures|Pariah,Grand Slam Productions,3,16,ok,200,
1587,What's Eating Gilbert Grape,What's Eating Gilbert Grape,1993-12-17,1993,12,Q4,verao,0,1,Lasse Hallström,Johnny Depp|Leonardo DiCaprio|Juliette Lewis,Paramount Pictures,Paramount Pictures,1,29,ok,200,
1588,Bring It On,Bring It On,2000-08-25,2000,8,Q3,inverno,1,0,Peyton Reed,Kirsten Dunst|Eliza Dushku|Jesse Bradford,Universal Pictures|Beacon Pictures,Universal Pictures,2,56,ok,200,
1592,Primal Fear,Primal Fear,1996-04-03,1996,4,Q2,outono,0,0,Gregory Hoblit,Richard Gere|Laura Linney|Edward Norton,Paramount Pictures|Rysher Entertainment,Paramount Pictures,2,48,ok,200,
1593,Night at the Museum,Night at the Museum,2006-12-20,2006,12,Q4,verao,0,1,Shawn Levy,Ben Stiller|Carla Gugino|Dick Van Dyke,1492 Pictures|21 Laps Entertainment|20th Century Fox|Ingenious Media|Sun Canada Productions,1492 Pictures,5,44,ok,200,
1597,Meet the Parents,Meet the Parents,2000-10-06,2000,10,Q4,primavera,0,0,Jay Roach,Ben Stiller|Robert De Niro|Teri Polo,Universal Pictures|DreamWorks Pictures|Nancy Tenenbaum Films|Tribeca Productions,Universal Pictures,4,33,ok,200,
1598,Cape Fear,Cape Fear,1991-11-13,1991,11,Q4,primavera,0,1,Martin Scorsese,Robert De Niro|Nick Nolte|Jessica Lange,Amblin Entertainment|Cappa Productions|Tribeca Productions|Universal Pictures,Amblin Entertainment,4,43,ok,200,
1599,I ♥ Huckabees,I ♥ Huckabees,2004-09-10,2004,9,Q3,primavera,0,0,David O. Russell,Jason Schwartzman|Isabelle Huppert|Dustin Hoffman,Fox Searchlight Pictures|Qwerty Films|Kanzeon|Scott Rudin Productions|N1 European Film Produktions,Fox Searchlight Pictures,5,64,ok,200,
1607,A Bronx Tale,A Bronx Tale,1993-10-01,1993,10,Q4,primavera,0,0,Robert De Niro,Robert De Niro|Chazz Palminteri|Lillo Brancato,Price Entertainment|Penta Entertainment|Tribeca Productions,Price Entertainment,3,50,ok,200,
1613,The 51st State,The 51st State,2001-12-07,2001,12,Q4,verao,0,1,Ronny Yu,Samuel L. Jackson|Robert Carlyle|Emily Mortimer,Alliance Atlantis|Fifty First Films|Focus Films,Alliance Atlantis,3,31,ok,200,
1619,The Way of the Gun,The Way of the Gun,2000-09-08,2000,9,Q3,primavera,0,0,Christopher McQuarrie,Ryan Phillippe|Benicio del Toro|Juliette Lewis,Artisan Entertainment|Aqaba Productions,Artisan Entertainment,2,15,ok,200,
1620,Hitman,Hitman,2007-11-21,2007,11,Q4,primavera,0,1,Xavier Gens,Timothy Olyphant|Dougray Scott|Olga Kurylenko,EuropaCorp|Charles Gordon Productions|Adrian Askarieh Productions,EuropaCorp,3,55,ok,200,
1621,Trading Places,Trading Places,1983-06-07,1983,6,Q2,inverno,1,0,John Landis,Dan Aykroyd|Eddie Murphy|Ralph Bellamy,Cinema Group Ventures|Paramount Pictures,Cinema Group Ventures,2,97,ok,200,
1623,Brubaker,Brubaker,1980-06-20,1980,6,Q2,inverno,1,0,Stuart Rosenberg,Robert Redford|Yaphet Kotto|Jane Alexander,20th Century Fox,20th Century Fox,1,57,ok,200,
1624,Liar Liar,Liar Liar,1997-03-21,1997,3,Q1,outono,0,0,Tom Shadyac,Jim Carrey|Maura Tierney|Justin Cooper,Universal Pictures|Imagine Entertainment,Universal Pictures,2,71,ok,200,
1626,Vivre sa vie: film en douze tableaux,Vivre Sa Vie,1962-09-20,1962,9,Q3,primavera,0,0,Jean-Luc Godard,Anna Karina|Sady Rebbot|André S. Labarthe,Pathé Consortium Cinéma|Les Films de la Pléiade,Pathé Consortium Cinéma,2,23,ok,200,
1630,The People vs. Larry Flynt,The People vs. Larry Flynt,1996-12-25,1996,12,Q4,verao,0,1,Miloš Forman,Woody Harrelson|Courtney Love|Edward Norton,Columbia Pictures|Phoenix Pictures|Ixtlan Productions,Columbia Pictures,3,96,ok,200,
1632,Mississippi Burning,Mississippi Burning,1988-12-08,1988,12,Q4,verao,0,1,Alan Parker,Gene Hackman|Willem Dafoe|Frances McDormand,Orion Pictures|Frederick Zollo Productions,Orion Pictures,2,62,ok,200,
1633,Fried Green Tomatoes,Fried Green Tomatoes,1991-12-27,1991,12,Q4,verao,0,1,Jon Avnet,Kathy Bates|Jessica Tandy|Mary-Louise Parker,Universal Pictures|Act III Productions|Avnet/Kerner Productions|Electric Shadow Productions|Fried Green Tomatoes Productions,Universal Pictures,5,42,ok,200,
1634,Free Willy,Free Willy,1993-07-16,1993,7,Q3,inverno,1,0,Simon Wincer,Jason James Richter|Keiko|Lori Petty,Warner Bros. Pictures|Le Studio Canal+|Regency Enterprises|Alcor Films|Donner/Shuler-Donner Productions,Warner Bros. Pictures,5,24,ok,200,
1635,The Island,The Island,2005-07-21,2005,7,Q3,inverno,1,0,Michael Bay,Ewan McGregor|Scarlett Johansson|Djimon Hounsou,DreamWorks Pictures|Warner Bros. Pictures|K/O Paper Products|Parkes+MacDonald Production,DreamWorks Pictures,4,67,ok,200,
1636,Bedazzled,Bedazzled,2000-10-19,2000,10,Q4,primavera,0,0,Harold Ramis,Brendan Fraser|Elizabeth Hurley|Frances O'Connor,KirchMedia|Regency Enterprises|Taurus Film|20th Century Fox,KirchMedia,4,51,ok,200,
1637,Speed,Speed,1994-06-09,1994,6,Q2,inverno,1,0,Jan de Bont,Keanu Reeves|Dennis Hopper|Sandra Bullock,20th Century Fox|The Mark Gordon Company,20th Century Fox,2,59,ok,200,
1640,Crash,Crash,2005-05-06,2005,5,Q2,outono,1,0,Paul Haggis,Don Cheadle|Sandra Bullock|Brendan Fraser,Blackfriars Bridge Films|Yari Film Group|Bob Yari Productions|ApolloProScreen Filmproduktion|Bull's Eye Entertainment|DEJ Productions|Harris Company,Blackfriars Bridge Films,7,50,ok,200,
1641,Forces of Nature,Forces of Nature,1999-03-12,1999,3,Q1,outono,0,0,Bronwen Hughes,Sandra Bullock|Ben Affleck|Maura Tierney,Roth/Arnold Productions|DreamWorks Pictures,Roth/Arnold Productions,2,64,ok,200,
1642,The Net,The Net,1995-07-28,1995,7,Q3,inverno,1,0,Irwin Winkler,Sandra Bullock|Jeremy Northam|Dennis Miller,Columbia Pictures,Columbia Pictures,1,56,ok,200,
1643,Ultimo tango a Parigi,Last Tango in Paris,1972-12-15,1972,12,Q4,verao,0,1,Bernardo Bertolucci,Marlon Brando|Maria Schneider|Maria Michi,Les Productions Artistes Associés|PEA,Les Productions Artistes Associés,2,23,ok,200,
1645,A Time to Kill,A Time to Kill,1996-07-24,1996,7,Q3,inverno,1,0,Joel Schumacher,Matthew McConaughey|Sandra Bullock|Samuel L. Jackson,Regency Enterprises|Warner Bros. Pictures,Regency Enterprises,2,81,ok,200,
1646,Freedom Writers,Freedom Writers,2007-01-05,2007,1,Q1,verao,0,0,Richard LaGravenese,Hilary Swank|Patrick Dempsey|Scott Glenn,Double Feature Films|Jersey Films|Kernos,Double Feature Films,3,48,ok,200,
1647,The Recruit,The Recruit,2003-01-31,2003,1,Q1,verao,0,0,Roger Donaldson,Colin Farrell|Al Pacino|Bridget Moynahan,Birnbaum/Barber Productions,Birnbaum/Barber Productions,1,44,ok,200,
1648,Bill & Ted's Excellent Adventure,Bill & Ted's Excellent Adventure,1989-02-17,1989,2,Q1,verao,0,0,Stephen Herek,Keanu Reeves|Alex Winter|George Carlin,DEG|Nelson Entertainment|Interscope Communications|Soisson/Murphy Productions,DEG,4,55,ok,200,
1649,Bill & Ted's Bogus Journey,Bill & Ted's Bogus Journey,1991-07-19,1991,7,Q3,inverno,1,0,Peter Hewitt,Keanu Reeves|Alex Winter|William Sadler,Nelson Entertainment|Interscope Communications,Nelson Entertainment,2,48,ok,200,
1654,The Dirty Dozen,The Dirty Dozen,1967-06-15,1967,6,Q2,inverno,1,0,Robert Aldrich,Lee Marvin|Ernest Borgnine|Charles Bronson,Seven Arts Pictures|MKH|Metro-Goldwyn-Mayer,Seven Arts Pictures,3,56,ok,200,
1656,The Legend of Zorro,The Legend of Zorro,2005-10-24,2005,10,Q4,primavera,0,0,Martin Campbell,Antonio Banderas|Catherine Zeta-Jones|Adrian Alonso,Columbia Pictures|Spyglass Entertainment|Amblin Entertainment,Columbia Pictures,3,23,ok,200,
1665,Last Days,Last Days,2005-06-12,2005,6,Q2,inverno,1,0,Gus Van Sant,Michael Pitt|Lukas Haas|Asia Argento,Meno Film Company|HBO Films|Pie Films Inc.|Picturehouse,Meno Film Company,4,20,ok,200,
1669,The Hunt for Red October,The Hunt for Red October,1990-03-02,1990,3,Q1,outono,0,0,John McTiernan,Sean Connery|Alec Baldwin|Scott Glenn,Paramount Pictures|Mace Neufeld/Jerry Sherlock Productions,Paramount Pictures,2,60,ok,200,
1675,La Nuit américaine,Day for Night,1973-05-24,1973,5,Q2,outono,1,0,François Truffaut,Jacqueline Bisset|Valentina Cortese|Dani,Les Films du Carrosse|Productions et Éditions Cinématographiques Françaises|Produzione Intercontinentale Cinematografica (PIC),Les Films du Carrosse,3,30,ok,200,
1677,Ray,Ray,2004-10-29,2004,10,Q4,primavera,0,0,Taylor Hackford,Jamie Foxx|Kerry Washington|Regina King,Bristol Bay Productions|Universal Pictures|Anvil Films|Baldwin Entertainment Group,Bristol Bay Productions,4,31,ok,200,
1678,ゴジラ,Godzilla,1954-11-03,1954,11,Q4,primavera,0,1,Ishirō Honda,Akira Takarada|Momoko Kôchi|Akihiko Hirata,TOHO|Toho Laboratory,TOHO,2,39,ok,200,
1683,The Reaping,The Reaping,2007-04-04,2007,4,Q2,outono,0,0,Stephen Hopkins,Hilary Swank|David Morrissey|Idris Elba,Dark Castle Entertainment|Chime Films|Eyetronics|Village Roadshow Pictures|Warner Bros. Pictures,Dark Castle Entertainment,5,44,ok,200,
1685,Beneath the Planet of the Apes,Beneath the Planet of the Apes,1970-04-23,1970,4,Q2,outono,0,0,Ted Post,James Franciscus|Kim Hunter|Maurice Evans,APJAC Productions|20th Century Fox,APJAC Productions,2,28,ok,200,
1687,Escape from the Planet of the Apes,Escape from the Planet of the Apes,1971-05-20,1971,5,Q2,outono,1,0,Don Taylor,Roddy McDowall|Kim Hunter|Bradford Dillman,APJAC Productions|20th Century Fox,APJAC Productions,2,52,ok,200,
1688,Conquest of the Planet of the Apes,Conquest of the Planet of the Apes,1972-06-29,1972,6,Q2,inverno,1,0,J. Lee Thompson,Roddy McDowall|Don Murray|Ricardo Montalban,APJAC Productions|20th Century Fox,APJAC Productions,2,30,ok,200,
1689,Little Buddha,Little Buddha,1993-12-01,1993,12,Q4,verao,0,1,Bernardo Bertolucci,Keanu Reeves|Bridget Fonda|Chris Isaak,Recorded Picture Company|CiBy 2000|Serprocor Anstalt|TAO Film,Recorded Picture Company,4,14,ok,200,
1690,Hostel,Hostel,2006-01-06,2006,1,Q1,verao,0,0,Eli Roth,Jay Hernandez|Derek Richardson|Eythor Gudjonsson,International Production Company|Raw Nerve|Next Entertainment|Hostel,International Production Company,4,64,ok,200,
1691,Hostel: Part II,Hostel: Part II,2007-06-07,2007,6,Q2,inverno,1,0,Eli Roth,Lauren German|Heather Matarazzo|Bijou Phillips,Next Entertainment|Screen Gems|Lionsgate|Raw Nerve|International Production Company,Next Entertainment,5,70,ok,200,
1694,Re-Animator,Re-Animator,1985-10-18,1985,10,Q4,primavera,0,0,Stuart Gordon,Jeffrey Combs|Bruce Abbott|Barbara Crampton,Empire Pictures,Empire Pictures,1,21,ok,200,
1696,The Devil's Rejects,The Devil's Rejects,2005-07-22,2005,7,Q3,inverno,1,0,Rob Zombie,Sid Haig|Bill Moseley|Sheri Moon Zombie,Cinerenta|Firm Films|Devil's Rejects Inc.|Lionsgate,Cinerenta,4,32,ok,200,
1700,Misery,Misery,1990-11-30,1990,11,Q4,primavera,0,1,Rob Reiner,Kathy Bates|James Caan|Richard Farnsworth,Castle Rock Entertainment|Nelson Entertainment,Castle Rock Entertainment,2,15,ok,200,
1701,Con Air,Con Air,1997-06-05,1997,6,Q2,inverno,1,0,Simon West,Nicolas Cage|John Cusack|John Malkovich,Touchstone Pictures|Jerry Bruckheimer Films,Touchstone Pictures,2,88,ok,200,
1705,Battle for the Planet of the Apes,Battle for the Planet of the Apes,1973-06-15,1973,6,Q2,inverno,1,0,J. Lee Thompson,Roddy McDowall|Natalie Trundy|Austin Stoker,Apjac International|20th Century Fox,Apjac International,2,18,ok,200,
1710,Copycat,Copycat,1995-10-27,1995,10,Q4,primavera,0,0,Jon Amiel,Sigourney Weaver|Holly Hunter|Dermot Mulroney,Regency Enterprises,Regency Enterprises,1,62,ok,200,
1712,Giant,Giant,1956-11-08,1956,11,Q4,primavera,0,1,George Stevens,Elizabeth Taylor|Rock Hudson|James Dean,Warner Bros. Pictures|George Stevens Jr. Productions,Warner Bros. Pictures,2,44,ok,200,
1713,Jungle Fever,Jungle Fever,1991-06-07,1991,6,Q2,inverno,1,0,Spike Lee,Wesley Snipes|Annabella Sciorra|Spike Lee,40 Acres and a Mule Filmworks|Universal Pictures,40 Acres and a Mule Filmworks,2,51,ok,200,
1714,Fahrenheit 451,Fahrenheit 451,1966-09-07,1966,9,Q3,primavera,0,0,François Truffaut,Julie Christie|Oskar Werner|Cyril Cusack,Anglo Enterprises|Vineyard Film,Anglo Enterprises,2,40,ok,200,
1715,The Cider House Rules,The Cider House Rules,1999-12-17,1999,12,Q4,verao,0,1,Lasse Hallström,Tobey Maguire|Charlize Theron|Michael Caine,Miramax|Nina Saxon Film Design|FilmColony,Miramax,3,37,ok,200,
1717,All the King's Men,All the King's Men,2006-09-10,2006,9,Q3,primavera,0,0,Steven Zaillian,Sean Penn|Jude Law|Anthony Hopkins,Relativity Media|Phoenix Pictures|Rising Star Productions|Columbia Pictures|VIP Medienfonds 4,Relativity Media,5,43,ok,200,
1722,Captain Corelli's Mandolin,Captain Corelli's Mandolin,2001-04-18,2001,4,Q2,outono,0,0,John Madden,Nicolas Cage|Penélope Cruz|John Hurt,Universal Pictures|StudioCanal|Miramax|Working Title Films,Universal Pictures,4,79,ok,200,
1724,The Incredible Hulk,The Incredible Hulk,2008-06-12,2008,6,Q2,inverno,1,0,Louis Leterrier,Edward Norton|Liv Tyler|Tim Roth,Marvel Studios|Valhalla Motion Pictures|Marvel Entertainment,Marvel Studios,3,107,ok,200,
1725,West Side Story,West Side Story,1961-12-13,1961,12,Q4,verao,0,1,Jerome Robbins,Natalie Wood|Richard Beymer|Russ Tamblyn,Seven Arts Productions|The Mirisch Company|Robert Wise Productions,Seven Arts Productions,3,49,ok,200,
1726,Iron Man,Iron Man,2008-04-30,2008,4,Q2,outono,0,0,Jon Favreau,Robert Downey Jr.|Terrence Howard|Jeff Bridges,Marvel Studios|Marvel Entertainment|Fairview Entertainment,Marvel Studios,3,65,ok,200,
1727,Bird on a Wire,Bird on a Wire,1990-05-18,1990,5,Q2,outono,1,0,John Badham,Mel Gibson|Goldie Hawn|David Carradine,Universal Pictures|Interscope Communications|The Badham-Cohen Group,Universal Pictures,3,37,ok,200,
1729,The Forbidden Kingdom,The Forbidden Kingdom,2008-04-17,2008,4,Q2,outono,0,0,Rob Minkoff,Jackie Chan|Jet Li|Michael Angarano,Casey Silver Productions|China Film Co-Production|Relativity Media|Lionsgate|The Weinstein Company|Arclight Films|Huayi Brothers Pictures 浙江华谊兄弟影业|J&J Project|Salon Films,Casey Silver Productions,9,19,ok,200,
1730,Inland Empire,Inland Empire,2006-12-06,2006,12,Q4,verao,0,1,David Lynch,Laura Dern|Jeremy Irons|Justin Theroux,Absurda|StudioCanal|Camerimage Film|Asymmetrical Productions|Fundacja Tumult,Absurda,5,101,ok,200,
1734,The Mummy Returns,The Mummy Returns,2001-05-04,2001,5,Q2,outono,1,0,Stephen Sommers,Brendan Fraser|Rachel Weisz|John Hannah,Universal Pictures|Alphaville Films|Imhotep Productions,Universal Pictures,3,24,ok,200,
1735,The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor,2008-07-01,2008,7,Q3,inverno,1,0,Rob Cohen,Brendan Fraser|Maria Bello|John Hannah,Universal Pictures|Relativity Media|The Sommers Company|Alphaville Films|Beijing Happy Pictures|Shanghai Film Group|Internationale Filmproduktion Blackbird Erste,Universal Pictures,7,50,ok,200,
1738,Next,Next,2007-04-25,2007,4,Q2,outono,0,0,Lee Tamahori,Nicolas Cage|Julianne Moore|Jessica Biel,Virtual Studios|Revolution Studios|Saturn Films|Broken Road Productions|Initial Entertainment Group,Virtual Studios,5,35,ok,200,
1770,Michael Collins,Michael Collins,1996-10-25,1996,10,Q4,primavera,0,0,Neil Jordan,Liam Neeson|Aidan Quinn|Stephen Rea,Geffen Pictures|Fís Éireann/Screen Ireland,Geffen Pictures,2,69,ok,200,
1771,Captain America: The First Avenger,Captain America: The First Avenger,2011-07-22,2011,7,Q3,inverno,1,0,Joe Johnston,Chris Evans|Hayley Atwell|Sebastian Stan,Marvel Studios|Marvel Entertainment,Marvel Studios,2,98,ok,200,
1786,Au revoir les enfants,Au Revoir les Enfants,1987-10-07,1987,10,Q4,primavera,0,0,Louis Malle,Gaspard Manesse|Raphael Fejtö|Francine Racette,Nouvelles Éditions de Films|MK2 Films|Stella Film|N.E.F. Filmproduktion und Vertriebs (I),Nouvelles Éditions de Films,4,35,ok,200,
1788,Footloose,Footloose,1984-02-17,1984,2,Q1,verao,0,0,Herbert Ross,Kevin Bacon|Lori Singer|John Lithgow,Paramount Pictures|IndieProd Company Productions,Paramount Pictures,2,48,ok,200,
1791,La Pianiste,The Piano Teacher,2001-09-05,2001,9,Q3,primavera,0,0,Michael Haneke,Isabelle Huppert|Annie Girardot|Benoît Magimel,Wega Film|MK2 Films|Les Films Alain Sarde|ARTE France Cinéma|Bavaria Film International|OFI,Wega Film,6,35,ok,200,
1792,Stuck on You,Stuck on You,2003-12-10,2003,12,Q4,verao,0,1,Bobby Farrelly,Matt Damon|Greg Kinnear|Eva Mendes,Conundrum Entertainment|20th Century Fox,Conundrum Entertainment,2,86,ok,200,
1807,Elephant,Elephant,2003-09-20,2003,9,Q3,primavera,0,0,Gus Van Sant,Alex Frost|Eric Deulen|John Robinson,HBO Films|Blue Relief Productions|Meno Film Company,HBO Films,3,52,ok,200,
1808,Velvet Goldmine,Velvet Goldmine,1998-08-28,1998,8,Q3,inverno,1,0,Todd Haynes,Ewan McGregor|Jonathan Rhys Meyers|Toni Collette,Zenith Entertainment|Killer Films|Single Cell Pictures|Newmarket Capital Group|Goldwyn Films|Miramax|Channel Four Films,Zenith Entertainment,7,62,ok,200,
1809,The Rules of Attraction,The Rules of Attraction,2002-10-11,2002,10,Q4,primavera,0,0,Roger Avary,James Van Der Beek|Shannyn Sossamon|Ian Somerhalder,Kingsgate Films|Roger Avary Filmproduktion GmbH|Lionsgate,Kingsgate Films,3,43,ok,200,
1813,The Devil's Advocate,The Devil's Advocate,1997-10-17,1997,10,Q4,primavera,0,0,Taylor Hackford,Keanu Reeves|Al Pacino|Charlize Theron,Monarchy Enterprises B.V.|Regency Enterprises|Kopelson Entertainment|New Regency Pictures|Taurus Film|Warner Bros. Pictures,Monarchy Enterprises B.V.,6,87,ok,200,
1817,Phone Booth,Phone Booth,2003-01-06,2003,1,Q1,verao,0,0,Joel Schumacher,Colin Farrell|Kiefer Sutherland|Forest Whitaker,Fox 2000 Pictures|Zucker/Netter Productions,Fox 2000 Pictures,2,57,ok,200,
1819,"You, Me and Dupree","You, Me and Dupree",2006-07-13,2006,7,Q3,inverno,1,0,Anthony Russo,Owen Wilson|Kate Hudson|Matt Dillon,MMCB Film Produktion 2004|Universal Pictures|Kaplan/Perrone Entertainment,MMCB Film Produktion 2004,3,41,ok,200,
1824,50 First Dates,50 First Dates,2004-02-13,2004,2,Q1,verao,0,0,Peter Segal,Adam Sandler|Drew Barrymore|Rob Schneider,Columbia Pictures|Anonymous Content|Flower Films|Happy Madison Productions,Columbia Pictures,4,60,ok,200,
1825,Over the Top,Over the Top,1987-02-13,1987,2,Q1,verao,0,0,Menahem Golan,Sylvester Stallone|Robert Loggia|Susan Blakely,The Cannon Group|Warner Bros. Pictures|Golan-Globus Productions,The Cannon Group,3,24,ok,200,
1826,Les Poupées russes,Russian Dolls,2005-06-15,2005,6,Q2,inverno,1,0,Cédric Klapisch,Romain Duris|Kelly Reilly|Audrey Tautou,StudioCanal|TPS Cinéma|Lunar Films|Ce qui me meut motion pictures|Canal+|France 2 Cinéma,StudioCanal,6,55,ok,200,
1830,Lord of War,Lord of War,2005-09-16,2005,9,Q3,primavera,0,0,Andrew Niccol,Nicolas Cage|Bridget Moynahan|Jared Leto,Endgame Entertainment|Entertainment Manufacturing Company|Ascendant Pictures|Saturn Films|Rising Star Productions|Copag V|VIP Medienfonds 3|Majority Entertainment,Endgame Entertainment,8,52,ok,200,
1832,Dogma,Dogma,1999-10-04,1999,10,Q4,primavera,0,0,Kevin Smith,Ben Affleck|Matt Damon|Linda Fiorentino,View Askew Productions|Miramax|Lionsgate,View Askew Productions,3,54,ok,200,
1833,Rent,Rent,2005-11-17,2005,11,Q4,primavera,0,1,Chris Columbus,Anthony Rapp|Adam Pascal|Rosario Dawson,1492 Pictures|Revolution Studios|Tribeca Productions,1492 Pictures,3,88,ok,200,
1844,Entrapment,Entrapment,1999-04-29,1999,4,Q2,outono,0,0,Jon Amiel,Catherine Zeta-Jones|Sean Connery|Will Patton,Fountainbridge Films|Regency Enterprises,Fountainbridge Films,2,21,ok,200,
1847,The Long Goodbye,The Long Goodbye,1973-03-08,1973,3,Q1,outono,0,0,Robert Altman,Elliott Gould|Nina van Pallandt|Sterling Hayden,United Artists|Lion's Gate Films,United Artists,2,30,ok,200,
1850,Man on the Moon,Man on the Moon,1999-12-22,1999,12,Q4,verao,0,1,Miloš Forman,Jim Carrey|Danny DeVito|Courtney Love,Mutual Film Company|Universal Pictures|Jersey Films|Cinehaus|West/Shapiro Productions,Mutual Film Company,5,233,ok,200,
1852,World Trade Center,World Trade Center,2006-08-09,2006,8,Q3,inverno,1,0,Oliver Stone,Nicolas Cage|Maria Bello|Connor Paolo,Paramount Pictures|Double Feature Films|Moritz Borman Productions|Kernos,Paramount Pictures,4,119,ok,200,
1857,The Transformers: The Movie,The Transformers: The Movie,1986-08-08,1986,8,Q3,inverno,1,0,Nelson Shin,Judd Nelson|Peter Cullen|Frank Welker,Marvel Productions|Sunbow Productions,Marvel Productions,2,33,ok,200,
1858,Transformers,Transformers,2007-06-27,2007,6,Q2,inverno,1,0,Michael Bay,Shia LaBeouf|Megan Fox|Mark Ryan,DreamWorks Pictures|di Bonaventura Pictures|DeSanto/Murphy Productions|Paramount Pictures,DreamWorks Pictures,4,93,ok,200,
1859,Ninotchka,Ninotchka,1939-11-16,1939,11,Q4,primavera,0,1,Ernst Lubitsch,Greta Garbo|Melvyn Douglas|Ina Claire,Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,1,57,ok,200,
1865,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,2011-05-15,2011,5,Q2,outono,1,0,Rob Marshall,Johnny Depp|Penélope Cruz|Geoffrey Rush,Walt Disney Pictures|Jerry Bruckheimer Films|Moving Picture Company,Walt Disney Pictures,3,84,ok,200,
1878,Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas,1998-05-22,1998,5,Q2,outono,1,0,Terry Gilliam,Johnny Depp|Benicio del Toro|Tobey Maguire,Summit Entertainment|Universal Pictures|Fear and Loathing LLC|Rhino Films|Shark Productions,Summit Entertainment,5,70,ok,200,
1879,Guess Who's Coming to Dinner,Guess Who's Coming to Dinner,1967-12-11,1967,12,Q4,verao,0,1,Stanley Kramer,Spencer Tracy|Sidney Poitier|Katharine Hepburn,Stanley Kramer Productions|Columbia Pictures,Stanley Kramer Productions,2,22,ok,200,
1880,Red Dawn,Red Dawn,1984-08-10,1984,8,Q3,inverno,1,0,John Milius,Patrick Swayze|Charlie Sheen|C. Thomas Howell,United Artists|Sidney Beckerman Productions|Valkyrie Films,United Artists,3,48,ok,200,
1883,Malcolm X,Malcolm X,1992-11-18,1992,11,Q4,primavera,0,1,Spike Lee,Denzel Washington|Angela Bassett|Albert Hall,Warner Bros. Pictures|40 Acres and a Mule Filmworks|Marvin Worth Productions|Largo International,Warner Bros. Pictures,4,309,ok,200,
1885,The Karate Kid,The Karate Kid,1984-06-22,1984,6,Q2,inverno,1,0,John G. Avildsen,Ralph Macchio|Pat Morita|Elisabeth Shue,Columbia Pictures|Delphi II Productions|Jerry Weintraub Productions,Columbia Pictures,3,49,ok,200,
1887,Marie Antoinette,Marie Antoinette,2006-05-24,2006,5,Q2,outono,1,0,Sofia Coppola,Kirsten Dunst|Jason Schwartzman|Steve Coogan,Pricel|Columbia Pictures|American Zoetrope|TFC,Pricel,4,71,ok,200,
1891,The Empire Strikes Back,The Empire Strikes Back,1980-05-20,1980,5,Q2,outono,1,0,Irvin Kershner,Mark Hamill|Harrison Ford|Carrie Fisher,Lucasfilm Ltd.,Lucasfilm Ltd.,1,79,ok,200,
1892,Return of the Jedi,Return of the Jedi,1983-05-25,1983,5,Q2,outono,1,0,Richard Marquand,Mark Hamill|Harrison Ford|Carrie Fisher,Lucasfilm Ltd.,Lucasfilm Ltd.,1,177,ok,200,
1893,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace,1999-05-19,1999,5,Q2,outono,1,0,George Lucas,Liam Neeson|Ewan McGregor|Natalie Portman,Lucasfilm Ltd.,Lucasfilm Ltd.,1,121,ok,200,
